Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,84,241.8,48.3,95.7,.505,0.5,2.1,.230,47.8,93.5,.511,24.7,31.8,.779,15.6,33.0,48.7,29.1,10.6,6.4,20.9,23.7,121.9
2,San Antonio Spurs*,84,241.8,46.3,94.6,.489,0.3,1.5,.200,46.0,93.0,.494,22.7,27.9,.813,15.5,34.8,50.4,25.5,9.0,6.9,18.8,24.2,115.6
3,Indiana Pacers*,84,242.1,44.5,101.5,.438,3.0,9.2,.324,41.5,92.3,.449,20.7,26.8,.772,19.2,32.6,51.8,24.8,11.2,5.5,17.3,23.6,112.6
4,New York Nets*,84,242.7,44.7,97.0,.460,1.3,4.4,.298,43.3,92.6,.468,21.1,27.8,.761,17.8,32.7,50.5,21.6,10.9,6.2,18.2,26.3,111.8
5,Kentucky Colonels*,84,243.3,44.7,95.2,.470,1.3,3.9,.335,43.4,91.3,.475,20.3,27.5,.736,17.4,34.5,51.9,24.6,7.9,6.3,20.2,26.9,111.0
6,Spirits of St. Louis,84,243.6,45.1,97.3,.463,0.8,2.9,.272,44.3,94.5,.469,17.9,23.6,.756,17.6,33.5,51.0,23.7,10.8,6.4,19.8,25.6,108.9
7,Virginia Squires,83,242.4,41.3,94.5,.437,0.9,3.3,.263,40.5,91.2,.444,23.4,30.5,.765,17.7,29.6,47.2,20.8,10.0,4.3,21.2,25.8,106.9
8,Utah Stars,16,244.7,44.7,93.6,.477,1.4,4.5,.319,43.3,89.1,.485,24.1,29.2,.827,16.6,32.3,48.8,23.6,7.0,2.4,18.3,29.3,114.9
9,San Diego Sails,11,240.0,39.3,92.7,.424,0.5,2.2,.250,38.7,90.5,.428,19.7,25.3,.781,18.4,31.6,50.0,19.5,6.5,6.0,17.8,23.0,98.8
,League Average,68,242.5,44.9,96.4,.466,1.1,3.9,.295,43.7,92.5,.473,21.6,28.0,.771,17.3,32.9,50.2,24.2,9.9,5.9,19.4,25.2,112.5